iter	Passed	Remaining
852	5588	963
853	5593	956
854	5599	949
855	5605	942
856	5610	936
857	5615	929
858	5621	922
859	5626	915
860	5632	909
861	5638	902
862	5644	896
863	5649	889
864	5655	882
865	5660	875
866	5666	869
867	5671	862
868	5677	855
869	5683	849
870	5689	842
871	5694	835
872	5700	829
873	5706	822
874	5711	815
875	5717	809
876	5750	806
877	5756	799
878	5763	793
879	5769	786
880	5774	779
881	5780	773
882	5785	766
883	5790	759
884	5796	753
885	5801	746
886	5807	739
887	5813	733
888	5818	726
889	5824	719
890	5831	713
891	5836	706
892	5841	699
893	5847	693
894	5852	686
895	5858	680
896	5864	673
897	5869	666
898	5876	660
899	5882	653
900	5888	647
901	5915	642
902	5921	636
903	5927	629
904	5932	622
905	5937	616
906	5943	609
907	5949	602
908	5955	596
909	5961	589
910	5966	582
911	5972	576
912	5978	569
913	5983	563
914	5989	556
915	5994	549
916	6000	543
917	6006	536
918	6011	529
919	6017	523
920	6023	516
921	6028	510
922	6034	503
923	6040	496
924	6046	490
925	6051	483
926	6080	478
927	6089	472
928	6094	465
929	6101	459
930	6106	452
931	6112	445
932	6118	439
933	6125	432
934	6130	426
935	6136	419
936	6142	412
937	6147	406
938	6153	399
939	6158	393
940	6164	386
941	6169	379
942	6177	373
943	6183	366
944	6190	360
945	6196	353
946	6203	347
947	6209	340
948	6217	334
949	6223	327
950	6230	321
951	6237	314
952	6243	307
953	6250	301
954	6284	296
955	6296	289
956	6307	283
957	6317	276
958	6325	270
959	6333	263
960	6341	257
961	6350	250
962	6357	244
963	6365	237
964	6372	231
965	6381	224
966	6388	218
967	6397	211
968	6403	204
969	6410	198
970	6416	191
971	6422	185
972	6429	178
973	6435	171
974	6441	165
975	6446	158
976	6452	151
977	6481	145
978	6486	139
979	6492	132
980	6498	125
981	6503	119
982	6509	112
983	6514	105
984	6520	99
985	6526	92
986	6531	86
987	6537	79
988	6543	72
989	6548	66
990	6554	59
991	6559	52
992	6565	46
993	6570	39
994	6576	33
995	6581	26
996	6587	19
997	6592	13
998	6597	6
999	6604	0
